N	pyomo_ipopt	scipy_cobyla
10	0.03038191795349121	0.008429765701293945
15	0.031640052795410156	0.07242655754089355
20	0.03604412078857422	0.04702329635620117
25	0.0743567943572998	0.045728206634521484
30	0.04268980026245117	0.14178013801574707
35	0.04349470138549805	0.14934062957763672
40	0.047757625579833984	0.2323923110961914
45	0.050045013427734375	0.3148210048675537
50	0.049857139587402344	0.5295572280883789
55	0.06172299385070801	0.6048316955566406
60	0.05035686492919922	0.6777365207672119
65	0.05610227584838867	0.7687063217163086
70	0.06097698211669922	1.0926873683929443
75	0.06377124786376953	1.1220569610595703
80	0.06139492988586426	1.3424806594848633
85	0.07037138938903809	1.4975976943969727
90	0.06465411186218262	1.7375636100769043
95	0.07411479949951172	2.4154157638549805
100	0.07337737083435059	3.3448691368103027
105	0.0903787612915039	0.0401911735534668
110	0.07985568046569824	4.010833740234375
115	0.15907001495361328	4.58522891998291
120	0.08310151100158691	6.175002098083496
125	0.09249329566955566	6.779860734939575
130	0.08989071846008301	7.591057538986206
135	0.10959315299987793	9.127025842666626
140	0.10277390480041504	10.638861417770386
145	0.11331009864807129	0.12733840942382812
150	0.10668206214904785	11.187704801559448
155	0.11512923240661621	14.128690004348755
160	0.13715243339538574	3.0908985137939453
165	0.1171572208404541	18.322907209396362
170	0.1522843837738037	15.616783142089844
175	0.10695767402648926	16.73580241203308
180	0.12006425857543945	17.56339955329895
185	0.2052009105682373	23.131058931350708
190	0.11106228828430176	22.98738718032837
195	0.13767600059509277	24.92388415336609
200	0.19898438453674316	26.680600881576538
205	0.13819217681884766	29.142531394958496
210	0.15371274948120117	30.43896245956421
215	0.1233680248260498	32.52666687965393
220	0.15478205680847168	36.03706741333008
225	0.14589881896972656	37.693949699401855
230	0.1567676067352295	45.15536117553711
235	0.16375422477722168	44.259748697280884
240	0.1737227439880371	45.69609308242798
245	0.1538712978363037	49.544190883636475
250	0.1541447639465332	52.39499258995056
