N,seed,solver,t,status,opt_type
10,18,scipy.slsqp,0.014292001724243164,8,nlp
10,18,scipy.cobyla,0.010381937026977539,ok,nlp
10,18,scipy.trust-constr,0.787973165512085,ok,nlp
10,18,pyomo.ipopt,0.03787398338317871,ok,nlp
10,18,pyomo.cbc,0.0841071605682373,ok,lp
10,18,pyomo.glpk,0.03271794319152832,ok,lp
10,18,cvxpy.cbc,0.09055089950561523,ok,lp
10,18,cvxpy.glpk,0.015275001525878906,ok,lp
10,18,cvxpy.ecos,0.014580965042114258,ok,lp
